標籤,關鍵字
1,您的帳單已經逾期未繳尚未收到您的繳款，本公司將立即停機，請立即繳款，如有疑問請按9轉客服，會幫你設定詐騙連線，連線後直接按165就會轉到警政署，開立報案三聯單，把三聯單傳真給中華電信就能夠不被收取這筆費用。
1,為了確保您的個人資料避免遭歹徒冒用，請您進盡快轉帳，也怕危及存款帳戶安全
1,您涉嫌人頭戶洗錢犯罪
1,我是地檢署檢察官需要你配合我們偵查，且偵查不公開，不能告訴家人或親友目前的狀況。
1,歹徒在報紙刊登廣告或散發傳單，宣稱可幫助民眾貸款、加盟、購買法拍物等，要求被害人先行至其指定銀行開戶，存入相當之權利金或保證金，並設定電話語音約定轉帳帳戶（網路銀行服務及語音查詢帳戶餘額），然後歹徒再要求被害人提供語音查詢餘額密碼及身分證件、地址等相關資料以便確認，利用電話語音轉帳功能（網路電子交易）將被害人之存款轉帳領走。
1,利用他人迷信心理，以鬼神之說恐嚇受害人，再偽稱能為人作法、消災、去厄、解運、祈福等；或以提供命相、卜卦等勞務，遂其「騙財騙色」之目的；或以建廟、建寺等為名，向信徒募款詐財。
1,如假冒司法調查人員收取紅包；冒用警察身分臨檢或辦案斂財；假藉公益團體騙取善款；假藉社工發放老人年金之名，騙取存摺、印章進而盜領存款；冒充星探向欲往演藝界發展少女，騙財騙色等皆是。
1,以投資公司名義，辦理投資講座，吸收追求高薪和喜好投資理財的年輕學子和社會新鮮人投入，以提供「外匯保證金交易」能夠獲取厚利為餌，慫恿不知情的客戶，下海加入外匯、期貨交易買賣，由客戶與該投資公司，進行非法外匯、期貨對賭，利用不實操縱的外匯、期貨行情變動詐騙客戶，讓客戶血本無歸。
1,利用民眾迷信心理，以命相、排流年、看風水，消災、解厄、改運、造墳為名騙取高額費用。
1,詐騙集團假冒國稅局、勞保局、中華電信公司等機關名義，發手機簡訊或打電話聯絡被害人，佯稱將核退被害人一筆稅款、勞保費或電話費，要求被害人利用提款機轉帳方式辦理「退稅（費）」手續，詐騙集團再騙得被害人依指示輸入之「密碼」後，即將被害人帳戶內存款轉匯到詐騙集團虛設之人頭帳戶內。
1,歹徒假冒銀行名義，通知被害人個人資料業經外洩，要求被害人聽從指示至提款機更改密碼；被害人基於恐懼憂慮，信以為真，即至提款機前按照歹徒的指示，逐步變更、重新輸入，將帳戶內存款轉匯到詐騙集團虛設之人頭帳戶內。
1,詐騙集團以「兒子、女兒」被綁架打給父母，讓父母立刻轉帳高額金錢以贖回子女
1,你好請問是先生嗎？請您按照指示寄送個人存摺、金融卡及密碼，要做為薪資帳戶的依據
1,請提供我金融卡背面的客服電話將由銀行人員與您聯繫
1,為避免帳戶被鎖請提供我銀行帳路及信用卡資訊
1,購物個資洩漏導致訂單錯誤請提供資料核對
1,為了解除錯誤設定請告知我簡訊驗證碼協助關閉交易
